Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 17737, 0, 59.7, 1.67, 0.14, 0.94, 59.7
create-asset-load-150, 25732, 0, 86.8, 2.02, 0.12, 0.97, 86.6
create-asset-load-225, 35505, 0, 119.3, 2.48, 0.15, 1.02, 119.1
create-asset-load-300, 54252, 0, 182.6, 3.58, 0.31, 1.15, 182.1
create-asset-load-375, 58298, 0, 196.1, 2.78, 0.29, 1.17, 195.3
create-asset-load-450, 60354, 0, 202.7, 3.99, 0.24, 1.22, 202.3
create-asset-load-525, 68388, 0, 229.2, 3.60, 0.37, 1.42, 228.6
create-asset-load-600, 74527, 0, 249.2, 4.06, 0.38, 1.60, 248.3
create-asset-load-675, 69481, 0, 233.2, 4.84, 0.35, 1.71, 232.2
create-asset-load-750, 75375, 0, 253.9, 4.58, 0.32, 1.75, 252.5
create-asset-load-825, 80064, 0, 269.2, 5.74, 0.47, 1.98, 268.7
create-asset-load-900, 76191, 0, 255.6, 6.57, 0.19, 2.27, 255.1

Benchmark 1
create-asset-load-75, 20745, 0, 69.8, 1.87, 0.14, 0.84, 69.7
create-asset-load-150, 27060, 0, 91.0, 2.29, 0.17, 0.96, 90.9
create-asset-load-225, 36800, 0, 123.8, 2.52, 0.17, 0.99, 123.4
create-asset-load-300, 55674, 0, 187.0, 2.58, 0.33, 1.10, 186.5
create-asset-load-375, 54785, 0, 184.6, 2.81, 0.19, 1.19, 184.1
create-asset-load-450, 59134, 0, 199.1, 3.58, 0.25, 1.28, 198.9
create-asset-load-525, 68600, 0, 230.3, 4.02, 0.17, 1.42, 230.2
create-asset-load-600, 69653, 0, 234.1, 5.09, 0.23, 1.70, 233.9
create-asset-load-675, 71044, 0, 238.5, 4.79, 0.32, 1.65, 237.7
create-asset-load-750, 75205, 0, 251.9, 4.46, 0.32, 1.74, 251.6
create-asset-load-825, 78037, 0, 262.5, 5.07, 0.35, 1.97, 261.4
create-asset-load-900, 81581, 0, 273.8, 5.61, 0.45, 2.11, 273.4

Benchmark 2
create-asset-load-75, 21023, 0, 70.8, 1.81, 0.18, 0.82, 70.7
create-asset-load-150, 28004, 0, 94.2, 2.38, 0.15, 0.90, 94.1
create-asset-load-225, 36473, 0, 122.5, 2.35, 0.19, 0.98, 122.3
create-asset-load-300, 56106, 0, 188.9, 2.65, 0.20, 1.10, 188.6
create-asset-load-375, 56486, 0, 189.9, 3.35, 0.25, 1.19, 189.7
create-asset-load-450, 59874, 0, 201.3, 3.40, 0.24, 1.25, 200.8
create-asset-load-525, 66863, 0, 224.1, 4.06, 0.37, 1.41, 223.5
create-asset-load-600, 72852, 0, 244.8, 3.60, 0.32, 1.63, 244.6
