Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 74795, 0, 251.9, 1.85, 0.11, 0.72, 251.4
create-asset-load-600, 129152, 0, 434.8, 1.97, 0.13, 0.88, 434.6
create-asset-load-900, 164017, 0, 552.3, 2.56, 0.16, 1.05, 551.3
create-asset-load-1200, 182251, 0, 613.2, 3.12, 0.22, 1.27, 612.0
create-asset-load-1500, 203636, 0, 684.8, 4.00, 0.22, 1.35, 684.3
create-asset-load-1800, 203769, 0, 684.5, 5.34, 0.21, 1.67, 683.1
create-asset-load-2100, 193572, 0, 650.5, 6.97, 0.33, 2.07, 649.3
create-asset-load-2400, 190111, 0, 637.1, 5.92, 0.25, 2.46, 635.5
create-asset-load-2700, 188346, 0, 630.4, 6.87, 0.28, 2.73, 628.4
create-asset-load-3000, 192022, 0, 642.5, 7.08, 0.25, 2.99, 641.0

Benchmark 1
create-asset-load-300, 77702, 0, 261.3, 1.82, 0.13, 0.69, 260.8
create-asset-load-600, 136466, 0, 459.7, 1.89, 0.14, 0.85, 459.1
create-asset-load-900, 172549, 0, 579.5, 2.25, 0.10, 1.00, 578.7
create-asset-load-1200, 187233, 0, 631.0, 3.12, 0.20, 1.20, 630.2
create-asset-load-1500, 202052, 0, 679.4, 3.71, 0.19, 1.36, 679.0
create-asset-load-1800, 198773, 0, 667.6, 3.92, 0.25, 1.74, 666.9
create-asset-load-2100, 201227, 0, 675.4, 4.59, 0.22, 2.01, 674.3
create-asset-load-2400, 207339, 0, 695.1, 5.62, 0.31, 2.18, 694.4
create-asset-load-2700, 196412, 0, 657.4, 6.53, 0.31, 2.72, 655.6
create-asset-load-3000, 194420, 0, 651.1, 7.34, 0.30, 2.97, 648.6

Benchmark 2
create-asset-load-300, 75492, 0, 254.1, 1.82, 0.14, 0.72, 253.6
create-asset-load-600, 124627, 0, 419.8, 1.96, 0.16, 0.92, 419.3
create-asset-load-900, 165229, 0, 556.5, 2.31, 0.17, 1.03, 555.9
create-asset-load-1200, 181850, 0, 611.7, 3.21, 0.16, 1.26, 610.6
create-asset-load-1500, 184863, 0, 621.3, 4.41, 0.26, 1.52, 619.6
create-asset-load-1800, 201561, 0, 677.0, 4.74, 0.26, 1.71, 676.3
create-asset-load-2100, 207446, 0, 697.0, 5.53, 0.15, 1.93, 695.6
create-asset-load-2400, 194105, 0, 650.6, 7.10, 0.11, 2.38, 650.4
create-asset-load-2700, 196950, 0, 659.4, 6.20, 0.30, 2.61, 658.8
create-asset-load-3000, 198309, 0, 663.9, 6.65, 0.27, 3.02, 661.6

Benchmark 3
create-asset-load-300, 75543, 0, 254.1, 1.75, 0.11, 0.72, 253.6
