Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 21957, 0, 73.9, 1.80, 0.18, 0.80, 73.8
create-asset-load-150, 28941, 0, 97.3, 2.17, 0.16, 0.87, 97.2
create-asset-load-225, 39044, 0, 131.6, 2.73, 0.27, 1.00, 131.3
create-asset-load-300, 41875, 0, 140.8, 3.50, 0.30, 1.37, 140.7
create-asset-load-375, 50468, 0, 169.6, 3.62, 0.22, 1.37, 168.7
create-asset-load-450, 42775, 0, 144.1, 4.68, 0.41, 1.81, 143.4
create-asset-load-525, 46157, 0, 154.2, 5.00, 0.53, 2.01, 153.9
create-asset-load-600, 47055, 0, 157.9, 5.19, 0.44, 2.32, 157.4
create-asset-load-675, 43738, 0, 145.6, 7.78, 0.26, 2.89, 145.3
create-asset-load-750, 43147, 0, 143.7, 8.56, 0.19, 2.95, 143.4
create-asset-load-825, 44893, 0, 150.7, 7.39, 0.52, 3.13, 150.3
create-asset-load-900, 42278, 0, 139.9, 9.02, 0.54, 3.56, 139.6

Benchmark 1
create-asset-load-75, 22008, 0, 74.1, 2.04, 0.18, 0.82, 74.0
create-asset-load-150, 28828, 0, 97.1, 2.12, 0.24, 0.89, 96.9
create-asset-load-225, 37783, 0, 126.9, 2.87, 0.28, 1.03, 126.7
create-asset-load-300, 42268, 0, 142.1, 3.58, 0.36, 1.39, 141.9
create-asset-load-375, 48181, 0, 161.9, 3.80, 0.31, 1.45, 161.7
create-asset-load-450, 40609, 0, 135.9, 4.29, 0.27, 1.87, 135.8
create-asset-load-525, 46477, 0, 156.3, 4.70, 0.34, 1.90, 156.1
create-asset-load-600, 45560, 0, 152.8, 5.39, 0.23, 2.36, 152.7
create-asset-load-675, 43538, 0, 145.5, 6.71, 0.34, 3.02, 145.3
create-asset-load-750, 43934, 0, 146.3, 7.15, 0.22, 2.96, 146.0
create-asset-load-825, 41799, 0, 138.3, 7.87, 0.29, 3.30, 138.0
create-asset-load-900, 41726, 0, 139.8, 8.57, 0.15, 3.60, 139.5

Benchmark 2
create-asset-load-75, 22208, 0, 74.8, 1.81, 0.15, 0.80, 74.6
create-asset-load-150, 28828, 0, 97.0, 2.13, 0.20, 0.87, 96.8
create-asset-load-225, 37901, 0, 127.7, 2.75, 0.28, 1.03, 127.5
create-asset-load-300, 41074, 0, 138.1, 3.04, 0.24, 1.36, 137.9
create-asset-load-375, 46105, 0, 155.0, 4.29, 0.35, 1.48, 154.5
create-asset-load-450, 43440, 0, 145.5, 4.49, 0.34, 1.82, 145.3
create-asset-load-525, 43390, 0, 145.0, 5.09, 0.41, 2.17, 144.2
create-asset-load-600, 43405, 0, 145.4, 6.06, 0.55, 2.48, 145.2
