Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 17705, 0, 59.6, 2.71, 0.21, 0.98, 59.5
create-asset-load-150, 24424, 0, 82.1, 2.95, 0.24, 1.04, 82.0
create-asset-load-225, 33284, 0, 111.7, 4.28, 0.19, 1.19, 111.3
create-asset-load-300, 40494, 0, 135.6, 4.63, 0.44, 1.50, 135.2
create-asset-load-375, 41165, 0, 138.1, 3.57, 0.21, 1.65, 138.0
create-asset-load-450, 43745, 0, 146.9, 5.87, 0.37, 1.81, 146.7
create-asset-load-525, 43284, 0, 144.4, 4.77, 0.31, 2.11, 144.0
create-asset-load-600, 43043, 0, 144.1, 5.51, 0.26, 2.55, 143.9
create-asset-load-675, 46480, 0, 155.7, 7.68, 0.20, 2.43, 155.5
create-asset-load-750, 45771, 0, 152.5, 7.09, 0.69, 2.82, 152.2
create-asset-load-825, 43741, 0, 145.9, 7.41, 0.63, 3.28, 145.6
create-asset-load-900, 41044, 0, 136.8, 8.55, 0.33, 3.82, 136.5

Benchmark 1
create-asset-load-75, 18249, 0, 61.4, 2.57, 0.24, 0.99, 61.4
create-asset-load-150, 24624, 0, 82.8, 3.01, 0.29, 1.02, 82.6
create-asset-load-225, 34059, 0, 114.4, 3.88, 0.34, 1.17, 114.1
create-asset-load-300, 39494, 0, 132.3, 5.06, 0.28, 1.52, 132.0
create-asset-load-375, 40939, 0, 137.4, 4.97, 0.44, 1.63, 136.8
create-asset-load-450, 45820, 0, 153.5, 5.37, 0.30, 1.68, 153.2
create-asset-load-525, 41986, 0, 141.0, 5.00, 0.33, 2.26, 140.8
create-asset-load-600, 41301, 0, 137.0, 5.76, 0.29, 2.61, 136.4
create-asset-load-675, 43903, 0, 146.7, 6.71, 0.36, 2.78, 146.2
create-asset-load-750, 43524, 0, 144.9, 6.55, 0.23, 2.86, 144.8
create-asset-load-825, 42886, 0, 143.0, 8.35, 0.24, 3.31, 142.7
create-asset-load-900, 43067, 0, 143.7, 9.35, 0.66, 3.45, 143.1

Benchmark 2
create-asset-load-75, 17449, 0, 58.7, 2.89, 0.16, 1.01, 58.6
create-asset-load-150, 23340, 0, 78.4, 3.09, 0.22, 1.08, 78.2
create-asset-load-225, 32823, 0, 110.1, 4.10, 0.26, 1.18, 109.9
create-asset-load-300, 39581, 0, 132.5, 4.53, 0.29, 1.49, 132.3
create-asset-load-375, 41876, 0, 140.5, 4.64, 0.34, 1.67, 140.2
create-asset-load-450, 40144, 0, 134.4, 5.21, 0.23, 1.88, 134.0
create-asset-load-525, 39922, 0, 132.8, 5.98, 0.30, 2.32, 132.4
create-asset-load-600, 42978, 0, 144.0, 6.09, 0.21, 2.46, 143.9
