Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 67582, 0, 227.0, 2.42, 0.15, 0.83, 226.7
create-asset-load-600, 99020, 0, 332.4, 3.16, 0.15, 1.12, 331.9
create-asset-load-900, 120475, 0, 405.3, 3.54, 0.15, 1.36, 404.7
create-asset-load-1050, 114814, 0, 385.1, 4.38, 0.18, 1.61, 384.4
create-asset-load-1200, 127888, 0, 428.6, 4.56, 0.16, 1.70, 427.7
create-asset-load-1350, 133741, 0, 448.1, 5.00, 0.18, 1.88, 447.4
create-asset-load-1500, 144393, 0, 484.6, 6.20, 0.34, 1.95, 481.6
create-asset-load-1650, 148969, 0, 499.9, 5.65, 0.16, 2.12, 499.6
create-asset-load-1800, 149544, 0, 498.1, 6.00, 0.40, 2.26, 497.1

Benchmark 1
create-asset-load-300, 69565, 0, 234.4, 2.31, 0.12, 0.79, 233.9
create-asset-load-600, 105633, 0, 355.2, 2.58, 0.12, 1.06, 354.5
create-asset-load-900, 130801, 0, 439.2, 3.19, 0.15, 1.27, 438.6
create-asset-load-1050, 130206, 0, 437.6, 4.28, 0.17, 1.46, 436.8
create-asset-load-1200, 144081, 0, 484.4, 4.29, 0.29, 1.54, 483.0
create-asset-load-1350, 141852, 0, 476.0, 4.78, 0.20, 1.78, 474.7
create-asset-load-1500, 149995, 0, 503.6, 5.77, 0.27, 1.88, 502.6
create-asset-load-1650, 153471, 0, 513.7, 5.71, 0.13, 2.09, 512.6
create-asset-load-1800, 150472, 0, 505.0, 6.49, 0.39, 2.21, 503.5

Benchmark 2
create-asset-load-300, 68018, 0, 229.1, 2.33, 0.14, 0.81, 228.8
create-asset-load-600, 100108, 0, 335.9, 2.71, 0.16, 1.11, 335.3
create-asset-load-900, 125507, 0, 422.2, 3.28, 0.21, 1.31, 421.3
create-asset-load-1050, 128392, 0, 430.5, 4.14, 0.19, 1.50, 429.6
create-asset-load-1200, 133441, 0, 446.4, 4.66, 0.24, 1.62, 445.1
create-asset-load-1350, 141397, 0, 474.7, 4.85, 0.26, 1.78, 473.6
create-asset-load-1500, 155250, 0, 521.3, 4.98, 0.19, 1.81, 520.9
create-asset-load-1650, 157210, 0, 526.8, 5.52, 0.15, 2.05, 526.5
create-asset-load-1800, 149156, 0, 501.3, 6.31, 0.24, 2.26, 499.9

Benchmark 3
create-asset-load-300, 69037, 0, 232.1, 2.44, 0.16, 0.79, 231.8
create-asset-load-600, 107765, 0, 362.8, 2.46, 0.14, 1.05, 362.5
create-asset-load-900, 129288, 0, 432.8, 3.33, 0.16, 1.30, 431.9
create-asset-load-1050, 134086, 0, 449.7, 3.69, 0.17, 1.44, 448.8
