Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 73290, 0, 246.9, 2.07, 0.13, 0.77, 246.7
create-asset-load-600, 117366, 0, 395.2, 2.55, 0.19, 0.99, 394.5
create-asset-load-900, 133417, 0, 449.4, 3.13, 0.19, 1.24, 448.7
create-asset-load-1050, 140448, 0, 472.6, 4.11, 0.17, 1.37, 472.3
create-asset-load-1200, 144419, 0, 485.5, 4.44, 0.18, 1.52, 483.8
create-asset-load-1350, 167200, 0, 562.2, 4.26, 0.16, 1.56, 561.0
create-asset-load-1500, 162716, 0, 546.5, 5.26, 0.23, 1.70, 545.4
create-asset-load-1650, 155330, 0, 522.3, 5.26, 0.27, 2.08, 519.1
create-asset-load-1800, 153752, 0, 515.8, 5.56, 0.28, 2.18, 513.9

Benchmark 1
create-asset-load-300, 71646, 0, 241.5, 2.00, 0.14, 0.76, 241.2
create-asset-load-600, 120468, 0, 406.0, 2.18, 0.17, 0.96, 405.4
create-asset-load-900, 138994, 0, 467.7, 2.88, 0.20, 1.22, 467.3
create-asset-load-1050, 141445, 0, 475.2, 3.18, 0.13, 1.33, 474.3
create-asset-load-1200, 151599, 0, 509.5, 3.67, 0.25, 1.48, 508.5
create-asset-load-1350, 172676, 0, 579.3, 4.03, 0.27, 1.53, 578.2
create-asset-load-1500, 159695, 0, 536.2, 4.47, 0.26, 1.76, 535.8
create-asset-load-1650, 161431, 0, 540.4, 4.86, 0.41, 1.97, 538.9
create-asset-load-1800, 158024, 0, 530.4, 5.54, 0.44, 2.18, 529.6

Benchmark 2
create-asset-load-300, 73032, 0, 245.6, 2.18, 0.13, 0.76, 245.2
create-asset-load-600, 120052, 0, 403.3, 2.36, 0.18, 0.96, 402.5
create-asset-load-900, 144132, 0, 485.2, 3.20, 0.12, 1.18, 484.5
create-asset-load-1050, 149703, 0, 504.5, 3.18, 0.13, 1.28, 503.0
create-asset-load-1200, 163722, 0, 550.7, 3.82, 0.19, 1.37, 549.2
create-asset-load-1350, 174795, 0, 586.9, 3.73, 0.19, 1.47, 585.7
create-asset-load-1500, 168283, 0, 562.8, 4.70, 0.28, 1.68, 561.5
create-asset-load-1650, 170859, 0, 572.6, 4.84, 0.10, 1.87, 571.9
create-asset-load-1800, 162231, 0, 544.6, 6.08, 0.26, 2.01, 542.8

Benchmark 3
create-asset-load-300, 71201, 0, 239.5, 2.00, 0.11, 0.77, 239.1
create-asset-load-600, 109674, 0, 369.3, 2.26, 0.13, 1.03, 368.6
create-asset-load-900, 129789, 0, 436.6, 2.88, 0.18, 1.27, 436.3
create-asset-load-1050, 141292, 0, 475.5, 4.26, 0.12, 1.35, 475.0
