Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 68235, 0, 230.0, 2.35, 0.16, 0.80, 229.9
create-asset-load-600, 112760, 0, 379.7, 2.55, 0.17, 1.03, 378.9
create-asset-load-900, 133445, 0, 447.3, 3.02, 0.13, 1.32, 446.7
create-asset-load-1050, 140665, 0, 471.9, 4.37, 0.21, 1.40, 471.3
create-asset-load-1200, 139969, 0, 470.3, 4.06, 0.29, 1.66, 469.1
create-asset-load-1350, 152958, 0, 513.1, 5.01, 0.19, 1.63, 512.0
create-asset-load-1500, 143414, 0, 482.2, 5.71, 0.41, 1.98, 481.3
create-asset-load-1650, 137754, 0, 463.8, 5.92, 0.35, 2.34, 462.9
create-asset-load-1800, 128990, 0, 432.0, 7.78, 0.48, 2.60, 429.8

Benchmark 1
create-asset-load-300, 68217, 0, 229.3, 2.33, 0.12, 0.83, 228.9
create-asset-load-600, 109274, 0, 367.9, 2.62, 0.15, 1.06, 367.3
create-asset-load-900, 122347, 0, 409.6, 3.23, 0.19, 1.40, 409.1
create-asset-load-1050, 126595, 0, 425.9, 3.99, 0.26, 1.54, 424.7
create-asset-load-1200, 128164, 0, 430.4, 4.76, 0.24, 1.76, 427.9
create-asset-load-1350, 134611, 0, 453.6, 4.84, 0.29, 1.84, 452.8
create-asset-load-1500, 133385, 0, 445.1, 5.59, 0.34, 2.10, 443.4
create-asset-load-1650, 130130, 0, 435.0, 5.26, 0.11, 2.38, 434.4
create-asset-load-1800, 137979, 0, 462.6, 6.81, 0.34, 2.44, 460.9

Benchmark 2
create-asset-load-300, 63108, 0, 212.5, 2.06, 0.14, 0.85, 212.3
create-asset-load-600, 102613, 0, 344.9, 2.71, 0.16, 1.11, 344.1
create-asset-load-900, 119815, 0, 402.9, 3.37, 0.16, 1.41, 402.4
create-asset-load-1050, 126516, 0, 424.3, 4.13, 0.20, 1.50, 423.5
create-asset-load-1200, 135215, 0, 454.5, 4.68, 0.12, 1.67, 453.9
create-asset-load-1350, 138726, 0, 466.9, 4.69, 0.22, 1.78, 464.6
create-asset-load-1500, 145016, 0, 487.9, 5.96, 0.27, 2.00, 486.9
create-asset-load-1650, 140588, 0, 473.3, 6.05, 0.46, 2.23, 472.0
create-asset-load-1800, 137087, 0, 459.2, 6.80, 0.23, 2.45, 458.8

Benchmark 3
create-asset-load-300, 67702, 0, 228.1, 2.13, 0.14, 0.82, 227.7
create-asset-load-600, 112451, 0, 378.6, 2.46, 0.14, 1.05, 378.0
create-asset-load-900, 127637, 0, 427.8, 3.56, 0.21, 1.36, 427.4
create-asset-load-1050, 134659, 0, 453.1, 3.78, 0.14, 1.45, 452.4
