Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)
create-asset-load-300, 58624, 0, 196.8, 2.68, 0.21, 1.03, 196.5
create-asset-load-375, 43558, 0, 146.2, 5.34, 0.19, 1.50, 146.1
create-asset-load-450, 39293, 0, 131.8, 6.04, 0.33, 1.88, 131.6
create-asset-load-525, 39861, 0, 132.9, 7.32, 0.35, 2.23, 132.7
create-asset-load-600, 41887, 0, 140.3, 8.87, 0.57, 2.86, 139.8
create-asset-load-675, 41993, 0, 140.1, 11.10, 0.42, 3.18, 139.5
create-asset-load-750, 38941, 0, 130.2, 9.01, 0.35, 3.28, 129.9
create-asset-load-825, 36842, 0, 121.7, 11.66, 0.25, 3.78, 121.4
create-asset-load-900, 38701, 0, 129.1, 12.78, 0.24, 4.17, 128.8

Benchmark 7
create-asset-load-75, 22090, 0, 74.4, 2.13, 0.25, 0.80, 74.3
create-asset-load-150, 28102, 0, 94.5, 2.39, 0.28, 0.90, 94.4
create-asset-load-225, 32184, 0, 108.1, 3.22, 0.24, 1.21, 107.9
create-asset-load-300, 55788, 0, 187.1, 3.31, 0.19, 1.09, 186.7
create-asset-load-375, 40397, 0, 135.6, 5.15, 0.20, 1.61, 135.2
create-asset-load-450, 36092, 0, 121.0, 5.78, 0.46, 2.11, 120.7
create-asset-load-525, 39289, 0, 132.0, 6.95, 0.50, 2.31, 131.5
create-asset-load-600, 40019, 0, 134.1, 8.48, 0.61, 2.72, 133.3
create-asset-load-675, 40353, 0, 134.5, 9.85, 0.26, 3.21, 134.3
create-asset-load-750, 38321, 0, 127.4, 10.14, 0.26, 3.30, 127.1
create-asset-load-825, 36373, 0, 120.3, 12.31, 0.20, 3.70, 120.0
create-asset-load-900, 38077, 0, 126.8, 12.51, 0.58, 4.31, 126.0

Benchmark 8
create-asset-load-75, 20362, 0, 68.5, 1.75, 0.23, 0.87, 68.4
create-asset-load-150, 25743, 0, 86.5, 2.63, 0.24, 1.00, 86.3
create-asset-load-225, 30827, 0, 103.8, 3.69, 0.27, 1.20, 103.6
create-asset-load-300, 52258, 0, 175.5, 3.06, 0.22, 1.14, 175.3
create-asset-load-375, 41446, 0, 139.2, 6.08, 0.28, 1.61, 139.0
create-asset-load-450, 38209, 0, 128.1, 6.20, 0.19, 1.94, 127.8
create-asset-load-525, 40123, 0, 134.7, 8.17, 0.37, 2.23, 134.5
create-asset-load-600, 35295, 0, 116.9, 11.10, 0.42, 3.15, 116.7
create-asset-load-675, 39021, 0, 130.2, 10.34, 0.40, 3.04, 130.0
create-asset-load-750, 40481, 0, 134.9, 11.26, 0.29, 3.04, 134.6
create-asset-load-825, 39162, 0, 129.6, 12.04, 0.33, 3.62, 129.3
create-asset-load-900, 38075, 0, 125.2, 13.14, 0.27, 4.32, 124.9

Benchmark 9
create-asset-load-75, 18710, 0, 63.0, 2.00, 0.19, 0.97, 62.9
