Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 64153, 0, 216.1, 2.26, 0.13, 0.86, 215.7
create-asset-load-450, 74314, 0, 250.6, 2.26, 0.17, 0.96, 250.4
create-asset-load-600, 93920, 0, 316.0, 2.53, 0.18, 1.19, 315.3
create-asset-load-750, 108219, 0, 363.4, 3.29, 0.14, 1.21, 363.1
create-asset-load-900, 119572, 0, 402.1, 3.67, 0.16, 1.43, 401.5
create-asset-load-1050, 126948, 0, 426.1, 4.12, 0.14, 1.54, 425.4
create-asset-load-1200, 128892, 0, 433.0, 4.70, 0.19, 1.73, 432.2
create-asset-load-1350, 133020, 0, 446.0, 5.26, 0.18, 1.92, 444.7
create-asset-load-1500, 127817, 0, 427.0, 5.99, 0.30, 2.16, 425.8
create-asset-load-1650, 121388, 0, 407.1, 6.14, 0.25, 2.65, 406.5
create-asset-load-1800, 111008, 0, 371.4, 6.69, 0.15, 2.91, 370.9

Benchmark 1
create-asset-load-300, 65310, 0, 220.0, 2.07, 0.17, 0.83, 219.8
create-asset-load-450, 73905, 0, 248.5, 2.47, 0.14, 0.98, 248.1
create-asset-load-600, 105607, 0, 355.5, 2.55, 0.20, 1.10, 354.9
create-asset-load-750, 108100, 0, 363.9, 3.26, 0.18, 1.23, 363.1
create-asset-load-900, 122706, 0, 412.7, 3.72, 0.18, 1.38, 412.3
create-asset-load-1050, 126947, 0, 425.8, 3.94, 0.23, 1.54, 425.0
create-asset-load-1200, 136709, 0, 458.6, 4.66, 0.21, 1.66, 458.3
create-asset-load-1350, 126015, 0, 424.3, 5.04, 0.16, 2.02, 422.6
create-asset-load-1500, 138492, 0, 462.0, 5.67, 0.25, 2.05, 461.0
create-asset-load-1650, 132532, 0, 446.1, 6.36, 0.31, 2.31, 444.1
create-asset-load-1800, 122879, 0, 412.4, 6.77, 0.26, 2.67, 409.1

Benchmark 2
create-asset-load-300, 69359, 0, 233.7, 2.22, 0.15, 0.82, 233.3
create-asset-load-450, 76981, 0, 258.8, 1.78, 0.13, 0.92, 258.6
create-asset-load-600, 108890, 0, 365.9, 2.49, 0.19, 1.05, 365.4
create-asset-load-750, 110064, 0, 370.2, 2.89, 0.18, 1.21, 369.4
create-asset-load-900, 128953, 0, 433.7, 3.48, 0.26, 1.34, 433.0
create-asset-load-1050, 136681, 0, 458.7, 4.53, 0.20, 1.45, 457.7
create-asset-load-1200, 143699, 0, 483.0, 4.43, 0.13, 1.60, 482.1
create-asset-load-1350, 127726, 0, 429.3, 5.01, 0.14, 1.99, 428.4
create-asset-load-1500, 130019, 0, 436.0, 6.08, 0.26, 2.17, 435.0
