Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 58383, 0, 196.7, 2.85, 0.16, 0.97, 196.5
create-asset-load-450, 62529, 0, 210.0, 2.75, 0.15, 1.16, 209.6
create-asset-load-600, 80912, 0, 271.4, 3.49, 0.21, 1.34, 270.8
create-asset-load-750, 84080, 0, 282.8, 3.71, 0.18, 1.49, 282.2
create-asset-load-900, 99354, 0, 333.9, 4.62, 0.24, 1.68, 333.3
create-asset-load-1050, 101046, 0, 340.3, 4.76, 0.22, 1.87, 338.0
create-asset-load-1200, 109342, 0, 364.6, 5.09, 0.20, 2.06, 363.9
create-asset-load-1350, 106778, 0, 357.1, 6.18, 0.24, 2.24, 356.4
create-asset-load-1500, 116457, 0, 387.7, 6.54, 0.17, 2.47, 386.9
create-asset-load-1650, 113713, 0, 379.2, 9.27, 0.30, 2.70, 378.1
create-asset-load-1800, 122121, 0, 408.7, 7.33, 0.51, 2.86, 408.0

Benchmark 1
create-asset-load-300, 60356, 0, 203.3, 2.39, 0.12, 0.92, 203.1
create-asset-load-450, 66777, 0, 224.4, 2.66, 0.14, 1.02, 224.2
create-asset-load-600, 94896, 0, 319.3, 3.36, 0.16, 1.18, 319.0
create-asset-load-750, 94589, 0, 317.7, 3.63, 0.13, 1.35, 317.5
create-asset-load-900, 112522, 0, 378.2, 4.15, 0.15, 1.50, 377.7
create-asset-load-1050, 112601, 0, 378.2, 4.26, 0.22, 1.74, 377.5
create-asset-load-1200, 117406, 0, 394.3, 5.14, 0.28, 1.86, 393.8
create-asset-load-1350, 132269, 0, 445.7, 5.05, 0.23, 1.98, 443.4
create-asset-load-1500, 124759, 0, 418.4, 7.92, 0.19, 2.18, 417.5
create-asset-load-1650, 131090, 0, 437.5, 6.82, 0.43, 2.45, 436.4
create-asset-load-1800, 117993, 0, 395.1, 7.14, 0.23, 2.73, 394.5

Benchmark 2
create-asset-load-300, 62110, 0, 208.6, 2.76, 0.15, 0.87, 208.2
create-asset-load-450, 70843, 0, 238.1, 2.29, 0.14, 1.02, 237.9
create-asset-load-600, 94487, 0, 318.0, 2.82, 0.15, 1.16, 317.4
create-asset-load-750, 98408, 0, 330.4, 3.62, 0.13, 1.28, 329.7
create-asset-load-900, 113318, 0, 381.1, 4.13, 0.18, 1.45, 380.8
create-asset-load-1050, 118831, 0, 399.7, 4.40, 0.15, 1.57, 398.9
create-asset-load-1200, 122643, 0, 409.7, 4.95, 0.22, 1.85, 408.9
create-asset-load-1350, 124438, 0, 416.6, 5.79, 0.24, 1.95, 415.9
create-asset-load-1500, 123670, 0, 415.7, 6.85, 0.28, 2.27, 414.9
