Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 23096, 0, 77.8, 1.74, 0.18, 0.72, 77.7
create-asset-load-150, 30761, 0, 103.6, 1.66, 0.16, 0.82, 103.4
create-asset-load-225, 40473, 0, 136.2, 2.22, 0.20, 0.90, 136.0
create-asset-load-300, 56684, 0, 190.7, 2.98, 0.15, 1.06, 190.3
create-asset-load-375, 58211, 0, 195.7, 3.26, 0.16, 1.11, 195.6
create-asset-load-450, 61756, 0, 207.8, 3.53, 0.25, 1.27, 207.5
create-asset-load-525, 65777, 0, 221.4, 4.39, 0.20, 1.42, 221.3
create-asset-load-600, 70161, 0, 236.1, 4.67, 0.38, 1.64, 235.2
create-asset-load-675, 67451, 0, 226.2, 4.93, 0.17, 1.71, 225.9
create-asset-load-750, 64581, 0, 216.0, 5.33, 0.26, 2.04, 215.6
create-asset-load-825, 65563, 0, 219.4, 6.10, 0.17, 2.32, 219.3
create-asset-load-900, 68625, 0, 229.8, 6.98, 0.20, 2.41, 229.3

Benchmark 1
create-asset-load-75, 25003, 0, 84.2, 1.50, 0.14, 0.70, 84.1
create-asset-load-150, 32384, 0, 109.1, 1.89, 0.14, 0.81, 109.0
create-asset-load-225, 41596, 0, 140.2, 2.13, 0.19, 0.89, 140.1
create-asset-load-300, 54721, 0, 184.3, 2.77, 0.17, 1.08, 184.0
create-asset-load-375, 56763, 0, 190.8, 3.29, 0.17, 1.14, 190.6
create-asset-load-450, 59978, 0, 201.3, 3.54, 0.23, 1.28, 201.1
create-asset-load-525, 63156, 0, 212.6, 4.22, 0.22, 1.47, 212.1
create-asset-load-600, 69989, 0, 235.3, 4.30, 0.24, 1.65, 234.1
create-asset-load-675, 70507, 0, 237.1, 4.95, 0.23, 1.66, 236.6
create-asset-load-750, 68978, 0, 230.8, 5.69, 0.19, 1.93, 230.3
create-asset-load-825, 68777, 0, 231.1, 6.34, 0.21, 2.14, 230.7
create-asset-load-900, 71753, 0, 239.1, 7.03, 0.23, 2.43, 238.9

Benchmark 2
create-asset-load-75, 23501, 0, 79.2, 1.39, 0.17, 0.71, 79.0
create-asset-load-150, 31193, 0, 105.0, 2.01, 0.14, 0.81, 104.7
create-asset-load-225, 41393, 0, 139.1, 2.18, 0.16, 0.90, 138.8
create-asset-load-300, 52917, 0, 178.1, 2.96, 0.18, 1.10, 177.8
create-asset-load-375, 57400, 0, 193.1, 3.20, 0.23, 1.12, 192.9
create-asset-load-450, 62786, 0, 211.0, 3.48, 0.24, 1.24, 210.8
create-asset-load-525, 60550, 0, 203.9, 3.94, 0.26, 1.49, 203.3
create-asset-load-600, 69781, 0, 234.4, 4.80, 0.29, 1.68, 234.1
