Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 76477, 0, 257.5, 1.38, 0.12, 0.73, 257.4
create-asset-load-600, 127063, 0, 427.9, 4.62, 0.19, 0.95, 427.0
create-asset-load-900, 179104, 0, 602.6, 2.72, 0.17, 1.03, 601.3
create-asset-load-1050, 183280, 0, 618.3, 2.96, 0.20, 1.13, 616.7
create-asset-load-1200, 189101, 0, 636.7, 2.98, 0.19, 1.28, 635.4
create-asset-load-1350, 199778, 0, 672.3, 3.56, 0.20, 1.35, 671.0
create-asset-load-1500, 177456, 0, 597.0, 3.97, 0.26, 1.66, 594.6
create-asset-load-1650, 170443, 0, 571.0, 4.53, 0.42, 2.05, 570.2
create-asset-load-1800, 185605, 0, 623.5, 5.28, 0.24, 1.83, 622.7

Benchmark 1
create-asset-load-300, 78620, 0, 264.6, 1.52, 0.12, 0.70, 264.5
create-asset-load-600, 135860, 0, 456.7, 2.04, 0.13, 0.91, 455.8
create-asset-load-900, 177450, 0, 597.5, 2.43, 0.13, 1.03, 596.4
create-asset-load-1050, 177887, 0, 599.8, 3.06, 0.15, 1.10, 598.6
create-asset-load-1200, 185639, 0, 624.6, 3.22, 0.21, 1.28, 624.2
create-asset-load-1350, 188839, 0, 633.7, 3.03, 0.15, 1.41, 632.4
create-asset-load-1500, 172740, 0, 577.9, 3.79, 0.29, 1.67, 576.3
create-asset-load-1650, 176160, 0, 590.6, 4.11, 0.42, 1.99, 589.5
create-asset-load-1800, 176272, 0, 591.3, 4.59, 0.24, 2.03, 588.5

Benchmark 2
create-asset-load-300, 75586, 0, 254.2, 1.45, 0.12, 0.73, 253.7
create-asset-load-600, 128187, 0, 431.7, 2.31, 0.17, 0.95, 431.1
create-asset-load-900, 166998, 0, 562.3, 2.58, 0.16, 1.08, 561.3
create-asset-load-1050, 175409, 0, 591.2, 3.20, 0.17, 1.13, 590.6
create-asset-load-1200, 177534, 0, 594.6, 3.01, 0.25, 1.32, 593.1
create-asset-load-1350, 196763, 0, 663.4, 3.79, 0.29, 1.45, 661.8
create-asset-load-1500, 180446, 0, 606.9, 3.52, 0.19, 1.61, 605.4
create-asset-load-1650, 186093, 0, 622.9, 4.00, 0.49, 1.92, 619.5
create-asset-load-1800, 172042, 0, 577.5, 4.26, 0.13, 2.07, 576.4

Benchmark 3
create-asset-load-300, 77193, 0, 259.6, 1.39, 0.10, 0.72, 259.1
create-asset-load-600, 134619, 0, 453.3, 1.94, 0.14, 0.90, 452.4
create-asset-load-900, 172524, 0, 578.7, 2.76, 0.21, 1.04, 577.7
create-asset-load-1050, 174035, 0, 585.2, 2.83, 0.14, 1.12, 584.0
