Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 57458, 0, 193.1, 2.31, 0.10, 0.96, 192.8
create-asset-load-600, 102991, 0, 345.9, 2.95, 0.11, 1.14, 344.8
create-asset-load-900, 140540, 0, 472.7, 2.77, 0.32, 1.31, 472.0
create-asset-load-1050, 144578, 0, 485.2, 3.12, 0.21, 1.25, 484.4
create-asset-load-1200, 163364, 0, 548.3, 3.53, 0.45, 1.48, 546.2
create-asset-load-1350, 176272, 0, 591.1, 4.50, 0.36, 1.48, 589.8
create-asset-load-1500, 174546, 0, 587.6, 3.71, 0.26, 1.68, 586.4
create-asset-load-1650, 187346, 0, 627.8, 4.28, 0.29, 1.77, 625.9
create-asset-load-1800, 162838, 0, 546.5, 4.42, 0.32, 2.15, 545.0

Benchmark 1
create-asset-load-300, 57700, 0, 194.1, 1.92, 0.14, 0.90, 193.9
create-asset-load-600, 104833, 0, 352.2, 2.93, 0.17, 1.17, 351.5
create-asset-load-900, 145682, 0, 490.0, 2.49, 0.27, 1.26, 489.3
create-asset-load-1050, 144434, 0, 485.1, 2.72, 0.23, 1.27, 484.3
create-asset-load-1200, 165453, 0, 556.2, 3.08, 0.49, 1.45, 555.1
create-asset-load-1350, 181596, 0, 612.1, 3.35, 0.33, 1.41, 610.0
create-asset-load-1500, 174829, 0, 587.2, 3.85, 0.34, 1.71, 586.4
create-asset-load-1650, 180261, 0, 605.8, 3.78, 0.39, 1.78, 604.4
create-asset-load-1800, 159505, 0, 532.8, 4.65, 0.38, 2.14, 531.2

Benchmark 2
create-asset-load-300, 59605, 0, 200.6, 1.83, 0.18, 0.90, 200.0
create-asset-load-600, 100918, 0, 338.6, 2.65, 0.23, 1.13, 338.0
create-asset-load-900, 138586, 0, 466.3, 2.97, 0.13, 1.31, 465.0
create-asset-load-1050, 134542, 0, 453.6, 2.73, 0.23, 1.30, 452.2
create-asset-load-1200, 166384, 0, 559.5, 3.84, 0.33, 1.46, 558.3
create-asset-load-1350, 172046, 0, 580.2, 4.08, 0.48, 1.53, 578.5
create-asset-load-1500, 168753, 0, 563.6, 4.16, 0.35, 1.73, 562.5
create-asset-load-1650, 178876, 0, 602.8, 4.11, 0.27, 1.81, 599.8
create-asset-load-1800, 166407, 0, 558.1, 4.80, 0.18, 2.14, 555.6

Benchmark 3
create-asset-load-300, 58824, 0, 197.7, 1.84, 0.11, 0.92, 197.3
create-asset-load-600, 97729, 0, 327.9, 3.07, 0.34, 1.22, 327.3
create-asset-load-900, 143338, 0, 482.1, 3.03, 0.21, 1.27, 481.7
create-asset-load-1050, 141372, 0, 475.2, 3.15, 0.21, 1.24, 474.8
