Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-75, 19518, 0, 65.7, 2.15, 0.17, 0.81, 65.6
create-asset-load-150, 28016, 0, 94.4, 2.43, 0.14, 0.94, 94.3
create-asset-load-225, 35499, 0, 119.2, 2.59, 0.18, 1.03, 119.0
create-asset-load-300, 44818, 0, 150.8, 3.79, 0.21, 1.28, 150.7
create-asset-load-375, 50446, 0, 169.5, 3.58, 0.26, 1.32, 169.3
create-asset-load-450, 51134, 0, 171.4, 4.80, 0.15, 1.48, 171.2
create-asset-load-525, 54163, 0, 181.5, 4.71, 0.17, 1.69, 181.3
create-asset-load-600, 56754, 0, 189.7, 6.37, 0.22, 1.94, 189.5
create-asset-load-675, 60549, 0, 203.2, 6.32, 0.18, 1.89, 202.8
create-asset-load-750, 59816, 0, 199.8, 6.68, 0.20, 2.17, 199.3
create-asset-load-825, 60312, 0, 202.1, 6.84, 0.21, 2.41, 201.6
create-asset-load-900, 63721, 0, 213.4, 7.57, 0.40, 2.62, 213.0

Benchmark 1
create-asset-load-75, 19897, 0, 67.0, 1.71, 0.19, 0.81, 66.8
create-asset-load-150, 28781, 0, 97.0, 2.43, 0.19, 0.88, 96.8
create-asset-load-225, 35700, 0, 120.0, 2.67, 0.19, 1.04, 119.8
create-asset-load-300, 42256, 0, 141.7, 3.06, 0.17, 1.33, 141.4
create-asset-load-375, 47885, 0, 160.9, 3.71, 0.19, 1.36, 160.5
create-asset-load-450, 48865, 0, 163.9, 4.80, 0.21, 1.54, 163.7
create-asset-load-525, 52127, 0, 175.2, 4.69, 0.30, 1.76, 174.9
create-asset-load-600, 55251, 0, 185.5, 5.23, 0.19, 2.00, 185.4
create-asset-load-675, 59681, 0, 199.9, 5.93, 0.17, 1.92, 199.5
create-asset-load-750, 57225, 0, 191.1, 6.83, 0.28, 2.26, 190.8
create-asset-load-825, 62217, 0, 209.0, 7.15, 0.29, 2.35, 208.8
create-asset-load-900, 64839, 0, 217.1, 7.43, 0.44, 2.62, 216.8

Benchmark 2
create-asset-load-75, 22143, 0, 74.6, 1.81, 0.20, 0.75, 74.4
create-asset-load-150, 29606, 0, 99.6, 2.27, 0.18, 0.85, 99.4
create-asset-load-225, 37356, 0, 125.4, 2.93, 0.18, 1.01, 125.3
create-asset-load-300, 44425, 0, 149.4, 3.53, 0.17, 1.24, 149.2
create-asset-load-375, 48631, 0, 163.4, 3.46, 0.23, 1.36, 162.9
create-asset-load-450, 52122, 0, 174.9, 5.48, 0.20, 1.44, 174.6
create-asset-load-525, 50292, 0, 168.6, 4.71, 0.17, 1.79, 168.3
create-asset-load-600, 58273, 0, 195.6, 5.57, 0.19, 1.91, 195.2
