Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 82673, 0, 278.1, 1.37, 0.13, 0.64, 278.0
create-asset-load-600, 154889, 0, 521.9, 1.63, 0.14, 0.79, 521.1
create-asset-load-900, 200632, 0, 675.7, 2.28, 0.13, 0.90, 674.9
create-asset-load-1200, 225791, 0, 757.4, 2.76, 0.13, 1.04, 755.5
create-asset-load-1500, 227770, 0, 767.2, 2.90, 0.28, 1.30, 765.5
create-asset-load-1800, 220601, 0, 740.7, 3.48, 0.11, 1.56, 740.4
create-asset-load-2100, 207251, 0, 695.8, 4.00, 0.28, 1.92, 694.2
create-asset-load-2400, 207845, 0, 697.4, 4.40, 0.41, 2.20, 695.8
create-asset-load-2700, 187437, 0, 626.8, 5.83, 0.85, 2.95, 624.9
create-asset-load-3000, 212339, 0, 711.0, 5.37, 0.55, 2.71, 709.2

Benchmark 1
create-asset-load-300, 83496, 0, 281.5, 1.24, 0.13, 0.65, 281.0
create-asset-load-600, 154757, 0, 521.5, 1.62, 0.13, 0.77, 520.7
create-asset-load-900, 195219, 0, 657.6, 2.60, 0.12, 0.92, 656.3
create-asset-load-1200, 213856, 0, 718.6, 2.83, 0.20, 1.11, 717.4
create-asset-load-1500, 221972, 0, 746.5, 2.93, 0.14, 1.34, 744.5
create-asset-load-1800, 223542, 0, 751.6, 3.38, 0.13, 1.53, 750.9
create-asset-load-2100, 222407, 0, 747.0, 3.75, 0.27, 1.86, 745.4
create-asset-load-2400, 245735, 0, 825.1, 3.97, 0.44, 1.94, 822.8
create-asset-load-2700, 204486, 0, 686.5, 5.47, 0.45, 2.66, 683.4
create-asset-load-3000, 192003, 0, 647.7, 5.71, 0.64, 3.21, 643.1

Benchmark 2
create-asset-load-300, 87021, 0, 292.9, 1.22, 0.13, 0.61, 292.4
create-asset-load-600, 154463, 0, 520.8, 1.83, 0.14, 0.80, 520.1
create-asset-load-900, 197641, 0, 665.8, 2.30, 0.14, 0.94, 664.4
create-asset-load-1200, 219034, 0, 738.2, 2.64, 0.15, 1.07, 737.8
create-asset-load-1500, 226174, 0, 760.6, 3.10, 0.24, 1.32, 759.5
create-asset-load-1800, 224134, 0, 749.5, 3.51, 0.28, 1.55, 747.8
create-asset-load-2100, 204526, 0, 686.5, 4.07, 0.22, 1.96, 685.1
create-asset-load-2400, 218316, 0, 733.8, 4.05, 0.25, 2.12, 730.1
create-asset-load-2700, 224764, 0, 754.1, 4.45, 0.44, 2.29, 752.2
create-asset-load-3000, 217338, 0, 728.3, 5.49, 0.56, 2.67, 726.2

Benchmark 3
create-asset-load-300, 81714, 0, 274.9, 1.32, 0.11, 0.64, 274.7
