Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 64318, 0, 216.3, 1.77, 0.17, 0.85, 215.8
create-asset-load-600, 114241, 0, 385.0, 2.65, 0.24, 1.04, 384.1
create-asset-load-900, 161356, 0, 543.2, 3.04, 0.22, 1.15, 541.5
create-asset-load-1200, 180501, 0, 604.3, 3.52, 0.15, 1.33, 603.9
create-asset-load-1500, 200099, 0, 672.5, 4.04, 0.27, 1.48, 671.6
create-asset-load-1800, 207461, 0, 696.8, 3.73, 0.31, 1.68, 694.8
create-asset-load-2100, 208111, 0, 699.2, 4.02, 0.41, 1.95, 698.2
create-asset-load-2400, 204041, 0, 684.4, 4.92, 0.41, 2.23, 683.0
create-asset-load-2700, 220899, 0, 740.2, 4.73, 0.60, 2.35, 738.3
create-asset-load-3000, 202902, 0, 679.6, 5.84, 0.67, 2.86, 677.8

Benchmark 1
create-asset-load-300, 64445, 0, 217.1, 1.65, 0.17, 0.81, 216.8
create-asset-load-600, 118618, 0, 399.4, 2.65, 0.22, 1.04, 398.3
create-asset-load-900, 163391, 0, 550.3, 2.77, 0.32, 1.12, 549.6
create-asset-load-1200, 191758, 0, 646.0, 2.67, 0.43, 1.27, 642.0
create-asset-load-1500, 202773, 0, 681.7, 3.77, 0.26, 1.45, 681.1
create-asset-load-1800, 216608, 0, 729.7, 4.23, 0.37, 1.62, 727.9
create-asset-load-2100, 220508, 0, 740.9, 4.59, 0.36, 1.80, 739.0
create-asset-load-2400, 205915, 0, 690.4, 4.74, 0.28, 2.33, 689.2
create-asset-load-2700, 210847, 0, 706.3, 6.07, 0.29, 2.53, 703.5
create-asset-load-3000, 203100, 0, 675.0, 5.81, 0.17, 3.05, 673.5

Benchmark 2
create-asset-load-300, 65831, 0, 221.5, 1.77, 0.15, 0.80, 221.3
create-asset-load-600, 119083, 0, 399.5, 2.69, 0.24, 1.01, 398.9
create-asset-load-900, 161538, 0, 543.8, 3.20, 0.30, 1.13, 542.3
create-asset-load-1200, 192338, 0, 647.4, 2.80, 0.29, 1.25, 646.1
create-asset-load-1500, 206349, 0, 695.8, 3.46, 0.27, 1.38, 693.9
create-asset-load-1800, 211987, 0, 712.6, 3.55, 0.09, 1.63, 710.3
create-asset-load-2100, 204557, 0, 682.2, 4.62, 0.40, 1.94, 680.6
create-asset-load-2400, 206111, 0, 690.9, 4.59, 0.34, 2.31, 689.5
create-asset-load-2700, 220032, 0, 737.5, 6.03, 0.53, 2.38, 734.6
create-asset-load-3000, 203024, 0, 679.3, 5.72, 0.37, 3.04, 678.4

Benchmark 3
create-asset-load-300, 65410, 0, 220.3, 1.87, 0.18, 0.81, 219.7
