Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)
create-asset-load-600, 109024, 0, 367.1, 2.78, 0.19, 1.07, 366.6
create-asset-load-900, 128930, 0, 433.1, 3.47, 0.28, 1.34, 432.4
create-asset-load-1050, 131454, 0, 440.8, 3.94, 0.20, 1.49, 440.1
create-asset-load-1200, 134536, 0, 452.2, 4.75, 0.17, 1.70, 451.9
create-asset-load-1350, 137922, 0, 461.8, 4.80, 0.12, 1.83, 460.9
create-asset-load-1500, 145933, 0, 489.8, 5.99, 0.17, 1.98, 489.2
create-asset-load-1650, 152281, 0, 511.6, 6.21, 0.36, 2.11, 510.6
create-asset-load-1800, 134914, 0, 452.0, 6.15, 0.22, 2.56, 449.8

Benchmark 9
create-asset-load-300, 68373, 0, 229.8, 2.45, 0.17, 0.81, 229.6
create-asset-load-600, 113049, 0, 380.6, 2.54, 0.19, 1.04, 380.4
create-asset-load-900, 136618, 0, 457.7, 3.13, 0.14, 1.28, 457.5
create-asset-load-1050, 148959, 0, 500.6, 4.50, 0.28, 1.39, 499.8
create-asset-load-1200, 139034, 0, 467.1, 5.45, 0.19, 1.65, 466.4
create-asset-load-1350, 148416, 0, 497.4, 5.08, 0.18, 1.73, 496.4
create-asset-load-1500, 144236, 0, 483.9, 4.91, 0.29, 1.99, 483.1
create-asset-load-1650, 154331, 0, 517.7, 5.24, 0.32, 1.98, 516.6
create-asset-load-1800, 139755, 0, 468.3, 6.57, 0.19, 2.49, 467.7
