Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 54399, 0, 182.6, 2.78, 0.24, 1.07, 182.1
create-asset-load-450, 64368, 0, 216.3, 2.79, 0.22, 1.10, 215.8
create-asset-load-600, 93905, 0, 315.6, 2.95, 0.26, 1.28, 314.4
create-asset-load-750, 97597, 0, 327.7, 3.55, 0.25, 1.34, 326.8
create-asset-load-900, 103037, 0, 346.2, 4.32, 0.14, 1.70, 345.6
create-asset-load-1050, 113409, 0, 380.0, 5.32, 0.19, 1.67, 379.2
create-asset-load-1200, 116493, 0, 391.2, 5.54, 0.60, 2.03, 390.2
create-asset-load-1350, 117197, 0, 393.0, 5.41, 0.19, 2.13, 392.7
create-asset-load-1500, 111586, 0, 373.7, 6.11, 0.22, 2.47, 373.4
create-asset-load-1650, 120253, 0, 401.7, 7.01, 0.48, 2.69, 400.8
create-asset-load-1800, 124008, 0, 415.1, 7.13, 0.85, 2.97, 413.1

Benchmark 1
create-asset-load-300, 54959, 0, 184.4, 2.87, 0.17, 1.06, 184.1
create-asset-load-450, 61877, 0, 207.9, 2.84, 0.13, 1.11, 207.6
create-asset-load-600, 95694, 0, 322.1, 2.78, 0.20, 1.27, 321.3
create-asset-load-750, 96163, 0, 322.9, 4.56, 0.37, 1.39, 322.4
create-asset-load-900, 112182, 0, 377.4, 4.21, 0.16, 1.58, 376.7
create-asset-load-1050, 116474, 0, 391.9, 3.91, 0.19, 1.60, 391.6
create-asset-load-1200, 112327, 0, 376.9, 5.64, 0.33, 2.05, 376.4
create-asset-load-1350, 110771, 0, 372.7, 5.57, 0.57, 2.32, 371.5
create-asset-load-1500, 104913, 0, 351.2, 6.96, 0.43, 2.74, 350.4
create-asset-load-1650, 107461, 0, 358.9, 7.22, 0.13, 2.85, 358.1
create-asset-load-1800, 126352, 0, 424.5, 7.67, 0.31, 2.75, 424.1

Benchmark 2
create-asset-load-300, 55345, 0, 186.1, 2.74, 0.16, 1.03, 185.7
create-asset-load-450, 63629, 0, 213.9, 2.50, 0.16, 1.06, 213.1
create-asset-load-600, 100370, 0, 337.6, 4.08, 0.33, 1.25, 337.2
create-asset-load-750, 96126, 0, 322.7, 4.24, 0.20, 1.30, 322.1
create-asset-load-900, 118316, 0, 397.4, 4.26, 0.20, 1.53, 396.4
create-asset-load-1050, 106411, 0, 358.4, 4.97, 0.17, 1.83, 355.9
create-asset-load-1200, 114015, 0, 382.8, 7.87, 0.53, 2.10, 380.4
create-asset-load-1350, 113132, 0, 378.4, 5.73, 0.45, 2.37, 375.6
create-asset-load-1500, 112737, 0, 377.9, 6.44, 0.79, 2.66, 376.5
