Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)
create-asset-load-1500, 142466, 0, 477.9, 4.74, 0.15, 2.02, 477.1
create-asset-load-1650, 143011, 0, 478.4, 5.14, 0.51, 2.36, 477.0
create-asset-load-1800, 150793, 0, 505.8, 5.60, 0.44, 2.21, 502.7

Benchmark 7
create-asset-load-300, 56735, 0, 191.1, 2.50, 0.20, 1.00, 190.8
create-asset-load-450, 65644, 0, 220.6, 2.47, 0.12, 1.04, 220.3
create-asset-load-600, 103818, 0, 348.1, 2.40, 0.19, 1.15, 347.5
create-asset-load-750, 99079, 0, 333.0, 3.14, 0.18, 1.16, 332.5
create-asset-load-900, 135986, 0, 457.5, 3.82, 0.21, 1.36, 456.8
create-asset-load-1050, 127993, 0, 429.8, 3.46, 0.14, 1.44, 429.3
create-asset-load-1200, 153033, 0, 514.6, 3.82, 0.13, 1.53, 513.5
create-asset-load-1350, 152168, 0, 509.6, 5.07, 0.43, 1.80, 508.9
create-asset-load-1500, 144304, 0, 485.1, 4.47, 0.37, 2.03, 483.5
create-asset-load-1650, 138093, 0, 461.6, 4.73, 0.49, 2.27, 460.5
create-asset-load-1800, 153117, 0, 513.5, 5.38, 0.24, 2.22, 513.0

Benchmark 8
create-asset-load-300, 57384, 0, 193.2, 2.08, 0.21, 0.97, 193.1
create-asset-load-450, 64739, 0, 217.6, 2.47, 0.16, 1.03, 217.3
create-asset-load-600, 104870, 0, 352.7, 2.30, 0.21, 1.13, 352.2
create-asset-load-750, 99185, 0, 333.4, 2.92, 0.13, 1.18, 332.5
create-asset-load-900, 134922, 0, 454.0, 3.97, 0.15, 1.36, 453.7
create-asset-load-1050, 132096, 0, 445.3, 3.33, 0.28, 1.39, 443.6
create-asset-load-1200, 152663, 0, 513.1, 3.53, 0.13, 1.53, 510.4
create-asset-load-1350, 147185, 0, 493.5, 4.45, 0.30, 1.75, 493.0
create-asset-load-1500, 140525, 0, 471.7, 5.21, 0.43, 2.09, 470.8
create-asset-load-1650, 142784, 0, 477.2, 5.20, 0.34, 2.18, 475.8
create-asset-load-1800, 146336, 0, 491.1, 5.55, 0.45, 2.27, 490.2

Benchmark 9
create-asset-load-300, 57408, 0, 193.2, 2.63, 0.21, 0.98, 192.9
create-asset-load-450, 58599, 0, 197.1, 2.50, 0.14, 1.13, 196.5
create-asset-load-600, 97175, 0, 327.0, 4.21, 0.16, 1.21, 326.1
create-asset-load-750, 95492, 0, 321.7, 3.80, 0.16, 1.22, 321.4
create-asset-load-900, 126673, 0, 425.9, 3.56, 0.18, 1.42, 425.0
create-asset-load-1050, 134752, 0, 454.1, 4.13, 0.32, 1.41, 453.5
create-asset-load-1200, 152458, 0, 512.3, 4.39, 0.32, 1.57, 511.3
create-asset-load-1350, 148419, 0, 497.5, 4.30, 0.17, 1.66, 496.1
create-asset-load-1500, 135710, 0, 455.3, 4.81, 0.43, 2.09, 454.1
create-asset-load-1650, 146977, 0, 491.3, 5.27, 0.49, 2.22, 490.3
create-asset-load-1800, 142598, 0, 478.4, 5.95, 0.24, 2.40, 477.4
