Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)

Benchmark 0
create-asset-load-300, 68378, 0, 230.2, 1.88, 0.15, 0.82, 229.6
create-asset-load-450, 67015, 0, 225.3, 1.69, 0.13, 0.98, 224.8
create-asset-load-600, 119014, 0, 400.7, 2.63, 0.22, 1.02, 399.8
create-asset-load-750, 114029, 0, 381.6, 3.25, 0.14, 1.09, 381.0
create-asset-load-900, 142871, 0, 480.9, 3.05, 0.20, 1.27, 478.9
create-asset-load-1050, 140176, 0, 470.3, 4.02, 0.23, 1.38, 469.5
create-asset-load-1200, 150814, 0, 507.2, 3.89, 0.27, 1.55, 506.6
create-asset-load-1350, 144513, 0, 484.4, 4.12, 0.27, 1.79, 482.3
create-asset-load-1500, 138144, 0, 463.4, 5.16, 0.30, 2.09, 462.9
create-asset-load-1650, 134918, 0, 451.0, 5.84, 0.15, 2.35, 450.0
create-asset-load-1800, 147242, 0, 490.1, 5.58, 0.28, 2.32, 488.9

Benchmark 1
create-asset-load-300, 69235, 0, 232.7, 1.92, 0.12, 0.83, 232.2
create-asset-load-450, 80046, 0, 269.5, 2.01, 0.12, 0.87, 269.0
create-asset-load-600, 117253, 0, 395.0, 2.42, 0.13, 1.00, 394.3
create-asset-load-750, 116630, 0, 392.7, 3.15, 0.17, 1.06, 391.9
create-asset-load-900, 142827, 0, 479.0, 3.16, 0.27, 1.25, 478.0
create-asset-load-1050, 139304, 0, 468.0, 3.77, 0.33, 1.34, 466.8
create-asset-load-1200, 153044, 0, 514.6, 4.23, 0.26, 1.56, 513.9
create-asset-load-1350, 143486, 0, 483.7, 5.17, 0.31, 1.82, 481.4
create-asset-load-1500, 145704, 0, 487.5, 4.88, 0.27, 1.91, 486.5
create-asset-load-1650, 150247, 0, 503.7, 5.72, 0.31, 2.19, 501.7
create-asset-load-1800, 144378, 0, 484.0, 4.97, 0.42, 2.30, 483.3

Benchmark 2
create-asset-load-300, 69948, 0, 235.3, 1.55, 0.10, 0.77, 234.8
create-asset-load-450, 80171, 0, 270.0, 1.91, 0.13, 0.85, 269.5
create-asset-load-600, 118191, 0, 397.5, 2.31, 0.17, 1.00, 396.5
create-asset-load-750, 120770, 0, 406.4, 2.79, 0.14, 1.07, 405.7
create-asset-load-900, 147582, 0, 496.8, 3.26, 0.18, 1.21, 496.0
create-asset-load-1050, 149761, 0, 503.8, 3.36, 0.30, 1.27, 503.1
create-asset-load-1200, 147849, 0, 494.6, 3.98, 0.25, 1.60, 493.3
create-asset-load-1350, 145766, 0, 488.5, 4.03, 0.35, 1.74, 487.5
create-asset-load-1500, 143666, 0, 482.1, 4.60, 0.21, 1.96, 481.7
