Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)
create-asset-load-1200, 165762, 0, 557.5, 3.64, 0.23, 1.34, 556.7
create-asset-load-1500, 174469, 0, 586.5, 4.31, 0.13, 1.52, 585.3
create-asset-load-1800, 189556, 0, 637.0, 4.48, 0.32, 1.72, 635.7
create-asset-load-2100, 178614, 0, 599.8, 5.86, 0.22, 2.17, 597.6
create-asset-load-2400, 185267, 0, 621.6, 6.42, 0.28, 2.45, 620.6
create-asset-load-2700, 196024, 0, 657.2, 6.99, 0.30, 2.60, 654.8
create-asset-load-3000, 197457, 0, 663.2, 7.48, 0.17, 2.95, 661.3

Benchmark 8
create-asset-load-300, 76775, 0, 258.8, 2.06, 0.14, 0.73, 258.4
create-asset-load-600, 118225, 0, 398.2, 2.22, 0.14, 0.93, 397.5
create-asset-load-900, 151091, 0, 508.5, 2.86, 0.23, 1.12, 507.9
create-asset-load-1200, 174858, 0, 588.2, 3.53, 0.13, 1.26, 587.1
create-asset-load-1500, 179485, 0, 603.4, 4.71, 0.19, 1.48, 602.6
create-asset-load-1800, 191738, 0, 640.8, 4.52, 0.22, 1.72, 639.9
create-asset-load-2100, 176354, 0, 591.7, 6.12, 0.17, 2.24, 590.4
create-asset-load-2400, 193494, 0, 645.6, 6.14, 0.41, 2.34, 643.7
create-asset-load-2700, 181657, 0, 607.8, 7.74, 0.22, 2.86, 606.3
create-asset-load-3000, 187140, 0, 623.5, 7.07, 0.27, 3.09, 622.3

Benchmark 9
create-asset-load-300, 69516, 0, 234.2, 2.19, 0.14, 0.80, 233.7
create-asset-load-600, 99195, 0, 333.9, 3.19, 0.15, 1.08, 333.6
create-asset-load-900, 141651, 0, 475.5, 3.33, 0.15, 1.16, 475.3
create-asset-load-1200, 152956, 0, 512.0, 3.99, 0.19, 1.44, 511.1
create-asset-load-1500, 167739, 0, 563.9, 4.24, 0.11, 1.60, 562.8
create-asset-load-1800, 175841, 0, 592.0, 5.80, 0.28, 1.82, 589.9
create-asset-load-2100, 189672, 0, 636.5, 5.93, 0.28, 2.05, 635.9
create-asset-load-2400, 189729, 0, 635.7, 6.49, 0.49, 2.40, 633.1
create-asset-load-2700, 192299, 0, 644.6, 6.96, 0.13, 2.59, 643.8
create-asset-load-3000, 185160, 0, 622.1, 9.05, 0.54, 3.15, 619.6
