Name, Succ, Fail, Send Rate (TPS), Max Latency (s), Min Latency (s), Avg Latency (s), Throughput (TPS)
create-asset-load-1500, 101283, 0, 336.0, 7.79, 0.20, 2.72, 335.3
create-asset-load-1650, 104787, 0, 352.2, 8.70, 0.48, 2.89, 350.9
create-asset-load-1800, 105169, 0, 351.4, 8.18, 0.31, 3.34, 350.0

Benchmark 7
create-asset-load-300, 63134, 0, 212.7, 2.21, 0.16, 0.89, 212.3
create-asset-load-450, 73687, 0, 248.0, 2.56, 0.16, 1.01, 247.8
create-asset-load-600, 95799, 0, 322.3, 3.50, 0.13, 1.22, 322.0
create-asset-load-750, 96486, 0, 324.1, 4.21, 0.21, 1.41, 323.7
create-asset-load-900, 105344, 0, 354.1, 4.21, 0.31, 1.63, 353.6
create-asset-load-1050, 103007, 0, 347.0, 4.66, 0.26, 1.86, 345.1
create-asset-load-1200, 109691, 0, 366.5, 6.18, 0.26, 2.13, 366.1
create-asset-load-1350, 107484, 0, 360.7, 6.49, 0.20, 2.31, 360.5
create-asset-load-1500, 101800, 0, 341.8, 6.95, 0.25, 2.92, 341.5
create-asset-load-1650, 101817, 0, 338.9, 7.30, 0.32, 2.98, 338.3
create-asset-load-1800, 99563, 0, 329.4, 7.64, 0.58, 3.37, 328.6

Benchmark 8
create-asset-load-300, 63439, 0, 213.7, 2.68, 0.19, 0.90, 213.5
create-asset-load-450, 73258, 0, 246.4, 2.54, 0.17, 1.00, 245.9
create-asset-load-600, 94583, 0, 318.0, 3.42, 0.15, 1.23, 317.4
create-asset-load-750, 93655, 0, 314.5, 3.29, 0.17, 1.40, 314.3
create-asset-load-900, 105882, 0, 356.2, 5.77, 0.16, 1.59, 355.5
create-asset-load-1050, 105457, 0, 353.8, 4.95, 0.18, 1.80, 353.6
create-asset-load-1200, 111631, 0, 373.4, 6.18, 0.15, 2.06, 373.2
create-asset-load-1350, 106886, 0, 357.3, 6.60, 0.28, 2.33, 356.3
create-asset-load-1500, 109694, 0, 366.9, 6.95, 0.17, 2.66, 366.4
create-asset-load-1650, 101771, 0, 339.1, 9.20, 0.24, 2.89, 338.4
create-asset-load-1800, 96969, 0, 323.8, 9.01, 0.33, 3.43, 323.4

Benchmark 9
create-asset-load-300, 59464, 0, 200.3, 2.96, 0.21, 0.96, 200.0
create-asset-load-450, 65942, 0, 221.5, 2.83, 0.13, 1.11, 221.1
create-asset-load-600, 85408, 0, 287.2, 3.36, 0.21, 1.33, 286.7
create-asset-load-750, 88261, 0, 296.4, 4.59, 0.24, 1.50, 296.1
create-asset-load-900, 97154, 0, 324.5, 5.42, 0.29, 1.79, 324.1
create-asset-load-1050, 97922, 0, 327.5, 6.18, 0.20, 1.93, 327.0
create-asset-load-1200, 95746, 0, 321.3, 7.44, 0.20, 2.37, 320.9
create-asset-load-1350, 104253, 0, 348.2, 6.09, 0.22, 2.40, 347.9
create-asset-load-1500, 110459, 0, 367.9, 7.66, 0.23, 2.61, 367.2
create-asset-load-1650, 107538, 0, 358.8, 9.09, 0.18, 2.67, 358.6
create-asset-load-1800, 107267, 0, 354.1, 7.77, 0.16, 3.26, 353.7
